timestamp,sample_duration,num_reads,read_cycles,num_writes,write_cycles,num_flushes,flush_cycles,bytes_read,bytes_written,retired_rw,retired_movnti,retired_movntq,retired_movntqd,retired_movntps,retired_mfence,retired_sfence,retired_lfence,wpq_inserts,rpq_inserts,wpq_occupancy,rpq_occupancy,dram_rpq_inserts,dram_rpq_occupancy,unc_ticks,total_read_write,retired_all_stores,l3_misses_local_pmm,l3_misses_remote_pmm,any_scoop_pmm,any_scoop_l3_miss_dram,total_addr_distance
10003224,7001283,0,0,881337,85920,0,0,0,7050696,0,0,876819,0,4518,0,2119,0,110736,0,0,0,0,0,0,10238712,0,0,0,0,0,4521
20005056,7000317,0,0,917504,0,0,0,0,7340032,0,0,917504,0,0,0,2048,0,114692,0,0,0,0,0,0,20463240,0,0,0,0,0,3
30011178,7002313,0,0,901398,114130,0,0,0,7211184,0,0,895484,0,5914,0,2538,0,113418,0,0,0,0,0,0,30541824,0,0,0,0,0,5917
40012528,7000492,0,0,890785,116780,0,0,0,7126280,0,0,884700,0,6085,0,4191,0,112113,0,0,0,0,0,0,40854792,0,0,0,0,0,6088
50014056,7001248,0,0,917239,12626,0,0,0,7337912,0,0,916599,0,640,0,2057,0,114739,0,0,0,0,0,0,51377344,0,0,0,0,0,646
60016125,7000753,0,0,914348,106074,0,0,0,7314784,0,0,908950,0,5398,0,2132,0,114970,0,0,0,0,0,0,61864480,0,0,0,0,0,5402
70017146,7000330,0,0,913664,0,0,0,0,7309312,0,0,913664,0,0,0,2048,0,114211,0,0,0,0,0,0,72370720,0,0,0,0,0,3
80020102,7001159,0,0,923233,196462,0,0,0,7385864,0,0,913018,0,10215,0,2207,0,116684,0,0,0,0,0,0,82901704,0,0,0,0,0,10219
90020792,7000073,0,0,932608,0,0,0,0,7460864,0,0,932608,0,0,0,4096,0,116578,0,0,0,0,0,0,93647560,0,0,0,0,0,3
100022228,7000431,0,0,912606,42110,0,0,0,7300848,0,0,910426,0,2180,0,4130,0,114352,0,0,0,0,0,0,104221112,0,0,0,0,0,2182
110025438,7001621,0,0,922843,47558,0,0,0,7382744,0,0,920423,0,2420,0,37,0,115663,0,0,0,0,0,0,114819216,0,0,0,0,0,2424
120027313,7001168,0,0,927427,76236,0,0,0,7419416,0,0,923517,0,3910,0,61,0,116420,0,0,0,0,0,0,125456040,0,0,0,0,0,3914
130029421,7000107,0,0,910548,59994,0,0,0,7284384,0,0,907677,0,2871,0,4140,0,114182,0,0,0,0,0,0,135992648,0,0,0,0,0,2874
140030488,7000957,0,0,904960,0,0,0,0,7239680,0,0,904960,0,0,0,4096,0,113122,0,0,0,0,0,0,146500936,0,0,0,0,0,2
150030830,7000222,0,0,930747,88138,0,0,0,7445976,0,0,926272,0,4475,0,2117,0,116905,0,0,0,0,0,0,157289248,0,0,0,0,0,4478
160033222,7001375,0,0,922368,0,0,0,0,7378944,0,0,922368,0,0,0,2048,0,115298,0,0,0,0,0,0,168010528,0,0,0,0,0,4
170033319,7000043,0,0,930816,0,0,0,0,7446528,0,0,930816,0,0,0,4096,0,116353,0,0,0,0,0,0,178657744,0,0,0,0,0,4
180035775,7001909,0,0,921024,80566,0,0,0,7368192,0,0,916928,0,4096,0,64,0,115645,0,0,0,0,0,0,189107600,0,0,0,0,0,4099
190037023,7000650,0,0,912564,96164,0,0,0,7300512,0,0,907645,0,4919,0,2124,0,114688,0,0,0,0,0,0,199758640,0,0,0,0,0,4922
200038674,7001086,0,0,922821,74344,0,0,0,7382568,0,0,918994,0,3827,0,4155,0,115833,0,0,0,0,0,0,210358616,0,0,0,0,0,3831
210041709,7001456,0,0,928000,0,0,0,0,7424000,0,0,928000,0,0,0,4096,0,116004,0,0,0,0,0,0,221043032,0,0,0,0,0,4
220042605,7000714,0,0,922368,0,0,0,0,7378944,0,0,922368,0,0,0,4096,0,115301,0,0,0,0,0,0,231684440,0,0,0,0,0,2
230043891,7000533,0,0,924026,170112,0,0,0,7392208,0,0,915420,0,8606,0,2182,0,116583,0,0,0,0,0,0,242296104,0,0,0,0,0,8608
240045542,7001056,0,0,931797,55282,0,0,0,7454376,0,0,929023,0,2774,0,2091,0,116824,0,0,0,0,0,0,252992464,0,0,0,0,0,2776
250047218,7000898,0,0,904373,93794,0,0,0,7234984,0,0,899559,0,4814,0,2123,0,113656,0,0,0,0,0,0,263220424,0,0,0,0,0,4818
260049656,7002201,0,0,915543,197532,0,0,0,7324344,0,0,905216,0,10327,0,2985,0,115737,0,0,0,0,0,0,273782656,0,0,0,0,0,10331
270050514,7000489,0,0,934393,9106,0,0,0,7475144,0,0,933925,0,468,0,7,0,116861,0,0,0,0,0,0,284534600,0,0,0,0,0,471
280052572,7001893,0,0,897751,364942,0,0,0,7182008,0,0,878639,0,19112,0,2345,0,114613,0,0,0,0,0,0,294958592,0,0,0,0,0,19115
290054764,7000864,0,0,906866,162850,0,0,0,7254928,0,0,898523,0,8343,0,2446,0,114406,0,0,0,0,0,0,305453456,0,0,0,0,0,8345
300055402,7000121,0,0,861613,628632,0,0,0,6892904,0,0,829785,0,31828,0,595,0,111684,0,0,0,0,0,0,315629304,0,0,0,0,0,31831
310055968,7000167,0,0,919532,25574,0,0,0,7356256,0,0,918252,0,1280,0,20,0,115109,0,0,0,0,0,0,326175848,0,0,0,0,0,1284
320056973,7000927,0,0,893986,280744,0,0,0,7151888,0,0,879719,0,14267,0,2270,0,113534,0,0,0,0,0,0,336616824,0,0,0,0,0,14271
330060057,7001751,0,0,906290,265678,0,0,0,7250320,0,0,892834,0,13456,0,2510,0,114972,0,0,0,0,0,0,347160328,0,0,0,0,0,13460
340061845,7001113,0,0,890425,253532,0,0,0,7123400,0,0,877534,0,12891,0,4295,0,112919,0,0,0,0,0,0,357585104,0,0,0,0,0,12894
350063163,7001224,0,0,921782,94054,0,0,0,7374256,0,0,916972,0,4810,0,4170,0,115825,0,0,0,0,0,0,368232064,0,0,0,0,0,4814
360065772,7000117,0,0,898902,316806,0,0,0,7191216,0,0,882824,0,16078,0,4266,0,114379,0,0,0,0,0,0,378646832,0,0,0,0,0,16081
370067406,7000644,0,0,899969,158700,0,0,0,7199752,0,0,891810,0,8159,0,127,0,113524,0,0,0,0,0,0,389084472,0,0,0,0,0,8161
380069411,7000825,0,0,924160,0,0,0,0,7393280,0,0,924160,0,0,0,2048,0,115525,0,0,0,0,0,0,399663448,0,0,0,0,0,3
390071132,7001079,0,0,917186,239382,0,0,0,7337488,0,0,905018,0,12168,0,1342,0,116176,0,0,0,0,0,0,410267496,0,0,0,0,0,12171
400074753,7000913,0,0,928256,0,0,0,0,7426048,0,0,928256,0,0,0,2048,0,116035,0,0,0,0,0,0,420684048,0,0,0,0,0,3
410077326,7001184,0,0,921344,0,0,0,0,7370752,0,0,921344,0,0,0,8192,0,115173,0,0,0,0,0,0,431351984,0,0,0,0,0,2
420079332,7001125,0,0,911813,399354,0,0,0,7294504,0,0,891531,0,20282,0,6459,0,116516,0,0,0,0,0,0,441817032,0,0,0,0,0,20283
430079781,7000285,52780,0,765620,378394,0,0,422240,6124960,52780,0,746410,0,19210,0,62240,0,98112,0,0,0,0,0,0,451665608,0,0,0,0,0,19623
442588240,7001902,0,0,907217,58804,0,0,0,7257736,0,0,904211,0,3006,0,2095,0,113781,0,0,0,0,0,0,463649888,0,0,0,0,0,3009
452588961,7000063,0,0,899328,0,0,0,0,7194624,0,0,899328,0,0,0,2048,0,112421,0,0,0,0,0,0,473724912,0,0,0,0,0,3
462595963,7001827,0,0,891663,125204,0,0,0,7133304,0,0,885244,0,6419,0,2545,0,112266,0,0,0,0,0,0,483651944,0,0,0,0,0,6422
472598657,7000950,0,0,908961,119420,0,0,0,7271688,0,0,902876,0,6085,0,4191,0,114388,0,0,0,0,0,0,494069360,0,0,0,0,0,6088
