timestamp,sample_duration,num_reads,read_cycles,num_writes,write_cycles,num_flushes,flush_cycles,read_cycles_samples,write_cycles_samples,flush_cycles_samples,bytes_read,bytes_written,retired_rw,retired_movnti,retired_movntq,retired_movntqd,retired_movntps,retired_mfence,retired_sfence,retired_lfence,wpq_inserts,rpq_inserts,wpq_occupancy,rpq_occupancy,dram_rpq_inserts,dram_rpq_occupancy,unc_ticks,total_read_write,retired_all_stores,l3_misses_local_pmm,l3_misses_remote_pmm,any_scoop_pmm,any_scoop_l3_miss_dram,total_addr_distance
6669906,2333824,0,0,56064,15997,0,0,0,219,0,0,448512,0,0,56064,0,0,0,0,0,7009,0,759255,0,0,0,2707894,2870672,0,0,0,0,359855,0
13340329,2334734,0,0,60928,14546,0,0,0,238,0,0,487424,0,0,60928,0,0,0,2048,0,7617,0,837379,0,0,0,2709285,5542648,0,0,0,0,696803,0
20009368,2335207,0,0,82944,15813,0,0,0,324,0,0,663552,0,0,82944,0,0,0,0,0,10370,0,1161619,0,0,0,2712564,9372408,0,0,0,0,1176582,0
26678533,2334174,0,0,114432,19322,0,0,0,447,0,0,915456,0,0,114432,0,0,0,0,0,14305,0,1622522,0,0,0,2710807,13682312,0,0,0,0,1720530,0
33346469,2334145,0,0,110848,20933,0,0,0,433,0,0,886784,0,0,110848,0,0,0,2048,0,13857,0,1568116,0,0,0,2708447,18695816,0,0,0,0,2350639,0
40013933,2334024,0,0,139823,11243,0,0,0,546,0,0,1118584,0,0,118962,0,20861,0,721,0,20089,0,2277381,0,0,0,2709239,24158208,0,0,0,0,3035609,20861
46684121,2335205,0,0,145152,10517,0,0,0,567,0,0,1161216,0,0,145152,0,0,0,0,0,18145,0,2036146,0,0,0,2710166,29620224,0,0,0,0,3721875,0
53352132,2333938,0,0,145664,10477,0,0,0,569,0,0,1165312,0,0,145664,0,0,0,0,0,18209,0,2033060,0,0,0,2708419,35315712,0,0,0,0,4437376,1
60020229,2333929,0,0,145920,10398,0,0,0,570,0,0,1167360,0,0,145920,0,0,0,2048,0,18241,0,2022659,0,0,0,2709534,40908040,0,0,0,0,5142117,0
66688591,2334104,0,0,150016,10758,0,0,0,586,0,0,1200128,0,0,150016,0,0,0,0,0,18753,0,2080460,0,0,0,2710826,46793920,0,0,0,0,5881472,1
73357745,2334025,0,0,150272,10779,0,0,0,587,0,0,1202176,0,0,150272,0,0,0,0,0,18785,0,2074363,0,0,0,2708467,52823232,0,0,0,0,6636733,1
80027467,2334898,0,0,148396,10901,0,0,0,579,0,0,1187168,0,0,142998,0,5398,0,84,0,19227,0,2124977,0,0,0,2666028,58812960,0,0,0,0,7389167,5398
86695418,2334251,0,0,146944,10898,0,0,0,574,0,0,1175552,0,0,146944,0,0,0,0,0,18369,0,2049926,0,0,0,2710389,64858656,0,0,0,0,8150581,1
93364010,2334527,0,0,151040,10784,0,0,0,590,0,0,1208320,0,0,151040,0,0,0,0,0,18881,0,2080972,0,0,0,2710565,71012896,0,0,0,0,8923515,0
100031752,2334172,0,0,149248,10668,0,0,0,583,0,0,1193984,0,0,149248,0,0,0,0,0,18657,0,2062297,0,0,0,2708778,76943296,0,0,0,0,9668773,0
106699805,2333693,0,0,151552,10802,0,0,0,592,0,0,1212416,0,0,151552,0,0,0,0,0,18945,0,2085908,0,0,0,2704751,82883272,0,0,0,0,10415040,1
