timestamp,sample_duration,num_reads,read_cycles,num_writes,write_cycles,num_flushes,flush_cycles,read_cycles_samples,write_cycles_samples,flush_cycles_samples,bytes_read,bytes_written,retired_rw,retired_movnti,retired_movntq,retired_movntqd,retired_movntps,retired_mfence,retired_sfence,retired_lfence,wpq_inserts,rpq_inserts,wpq_occupancy,rpq_occupancy,dram_rpq_inserts,dram_rpq_occupancy,unc_ticks,total_read_write,retired_all_stores,l3_misses_local_pmm,l3_misses_remote_pmm,any_scoop_pmm,any_scoop_l3_miss_dram,total_addr_distance
5002061,2500358,0,0,114944,33078,0,0,0,449,0,0,114944,114944,0,0,0,0,0,0,0,1632,1881,179845,0,0,0,2993839,327424,0,0,0,5428,324894,16
10006278,2501550,0,0,118528,30136,0,0,0,463,0,0,118528,118528,0,0,0,0,0,0,0,1812,1928,191116,0,0,0,2993366,646656,0,0,0,10718,644954,6
15006751,2500375,0,0,165376,33136,0,0,0,646,0,0,165376,165376,0,0,0,0,0,0,0,2564,2601,290199,0,0,0,2993493,1129728,0,0,0,17516,1078876,11
20008726,2501745,0,0,166656,31492,0,0,0,651,0,0,166656,166656,0,0,0,0,0,0,0,2541,2647,277505,0,0,0,2995312,1566464,0,0,0,24466,1516584,8
25010415,2501433,0,0,225024,30853,0,0,0,879,0,0,225024,225024,0,0,0,0,0,0,0,3475,3523,408287,0,0,0,2994434,2337792,0,0,0,32823,2081248,10
30014592,2502917,0,0,226560,32894,0,0,0,885,0,0,556288,179456,0,47104,0,0,0,0,0,8770,2837,977985,0,0,0,2995956,3237632,0,0,0,41052,2652574,9
35017252,2501517,0,0,286208,33493,0,0,0,1118,0,0,286208,286208,0,0,0,0,0,0,0,4416,4503,512670,0,0,0,2994730,3912960,0,0,0,51646,3329362,12
40018247,2500552,0,0,280832,35766,0,0,0,1097,0,0,280832,280832,0,0,0,0,0,0,0,4373,4420,497125,0,0,0,2993845,4577792,0,0,0,62062,3995662,12
45021214,2502299,0,0,281600,48408,0,0,0,1100,0,0,281600,281600,0,0,0,0,0,0,0,4230,4411,504722,0,0,0,2995880,5253888,0,0,0,72637,4673207,10
50024856,2502010,0,0,300288,35009,0,0,0,1173,0,0,300288,300288,0,0,0,0,0,0,0,4764,4718,557147,0,0,0,2994830,6004480,0,0,0,83322,5364373,19
55026745,2500348,0,0,301312,34291,0,0,0,1177,0,0,476928,276224,0,25088,0,0,0,0,0,7703,4365,874732,0,0,0,2993270,6865664,0,0,0,93703,6051451,25
60030114,2501375,0,0,301056,34846,0,0,0,1176,0,0,301056,301056,0,0,0,0,0,0,0,4758,4755,518450,0,0,0,2994566,7563264,0,0,0,104637,6750558,12
65031624,2501357,0,0,297984,37857,0,0,0,1164,0,0,297984,297984,0,0,0,0,0,0,0,4764,4699,538082,0,0,0,2994460,8448000,0,0,0,115253,7454030,10
70033391,2500974,0,0,307968,38912,0,0,0,1203,0,0,709376,250624,0,57344,0,0,0,0,0,11101,3948,1274773,0,0,0,2994029,9561088,0,0,0,125511,8167196,14
75034602,2500344,0,0,308224,34440,0,0,0,1204,0,0,308224,308224,0,0,0,0,0,0,0,4928,4831,556197,0,0,0,2993280,10270976,0,0,0,136623,8878554,11
80036464,2501345,0,0,302336,33262,0,0,0,1181,0,0,302336,302336,0,0,0,0,0,0,0,4787,4767,554498,0,0,0,2994584,10984448,0,0,0,147747,9589933,14
85037004,2500323,0,0,305408,33891,0,0,0,1193,0,0,409344,290560,0,14848,0,0,0,0,0,6469,4550,729426,0,0,0,2993424,11810304,0,0,0,158830,10313385,17
90038262,2500632,0,0,312320,40985,0,0,0,1220,0,0,312320,312320,0,0,0,0,0,0,0,4915,4893,534992,0,0,0,2993317,12531712,0,0,0,170116,11036299,6
95039042,2500493,0,0,308736,34929,0,0,0,1206,0,0,308736,308736,0,0,0,0,0,0,0,4904,4834,537770,0,0,0,2993459,13285632,0,0,0,181149,11748716,12
100042973,2502086,0,0,296704,39558,0,0,0,1159,0,0,576256,256768,0,39936,0,0,0,0,0,9085,4005,1014274,0,0,0,2995591,14269440,0,0,0,191521,12454465,30
105047665,2502607,0,0,305408,34529,0,0,0,1193,0,0,305408,305408,0,0,0,0,0,0,0,4823,4775,518539,0,0,0,2995905,14995968,0,0,0,202894,13182517,12
110050958,2501511,0,0,318720,35860,0,0,0,1245,0,0,318720,318720,0,0,0,0,0,0,0,5034,4987,542983,0,0,0,2993972,15873024,0,0,0,214143,13921341,7
115051866,2500636,0,0,311296,38491,0,0,0,1216,0,0,565760,274944,0,36352,0,0,0,0,0,8896,4292,971540,0,0,0,2993592,16858112,0,0,0,224980,14653521,8
120054044,2501160,0,0,318976,35157,0,0,0,1246,0,0,318976,318976,0,0,0,0,0,0,0,5041,4979,540785,0,0,0,2994160,17587968,0,0,0,236384,15384884,5
125055016,2500749,0,0,315904,38775,0,0,0,1234,0,0,315904,315904,0,0,0,0,0,0,0,4949,4939,550998,0,0,0,2994148,18467840,0,0,0,247554,16119347,33
130056791,2500873,0,0,306386,28206,92,0,0,1197,0,0,2450380,84,0,306302,0,0,0,0,0,38362,76,4265600,0,0,0,2994066,23593508,0,0,0,248258,16794823,69
135057974,2500307,0,0,305619,28879,90,0,0,1194,0,0,2444365,69,0,305550,0,0,0,0,0,38258,71,4224400,0,0,0,2991790,28865213,0,0,0,248403,17455443,64
140061191,2502243,0,0,306647,26183,82,0,0,1198,0,0,2452580,72,0,306575,0,0,0,0,0,38386,73,4234811,0,0,0,2993178,34165607,0,0,0,248559,18119661,66
145063085,2500546,0,0,301786,35688,76,0,0,1179,0,0,2413751,63,0,301723,0,0,0,0,0,37780,63,4176444,0,0,0,2993894,39463882,0,0,0,248713,18783592,60
150065378,2500968,0,0,307925,29620,86,0,0,1203,0,0,2462759,79,0,307846,0,0,0,0,0,38547,82,4252425,0,0,0,2992306,44807135,0,0,0,248883,19453146,69
155066727,2501055,0,0,303832,31640,80,0,0,1187,0,0,2430066,70,0,303762,0,0,0,0,0,38037,67,4215071,0,0,0,2994209,50109472,0,0,0,249036,20117596,71
160068712,2500026,0,0,300755,28861,90,29,0,1174,1,0,2405438,74,0,300681,0,0,0,0,0,37668,78,4202282,0,0,0,2991303,55364756,0,0,0,249196,20776121,74
165070105,2500590,0,0,294612,29547,88,0,0,1151,0,0,2356309,73,0,294539,0,0,0,0,0,36877,70,4206065,0,0,0,2994018,60445920,0,0,0,249353,21412873,72
170072190,2501188,0,0,305623,29184,82,0,0,1194,0,0,2444382,74,0,305549,0,0,0,0,0,38253,83,4220691,0,0,0,2994343,65729729,0,0,0,249547,22074996,69
175073130,2500438,0,0,306130,29163,92,0,0,1196,0,0,2448419,75,0,306055,0,0,0,0,0,38320,77,4238298,0,0,0,2993319,71027824,0,0,0,249726,22738938,68
180074913,2501557,0,0,305879,26950,82,0,0,1195,0,0,2446349,85,0,305794,0,0,0,0,0,38289,82,4233355,0,0,0,2995032,76405737,0,0,0,249901,23412881,71
185075183,2500152,0,0,302290,29863,92,0,0,1181,0,0,2417668,80,0,302210,0,0,0,0,0,37847,83,4183258,0,0,0,2993388,81709885,0,0,0,250070,24077691,74
190076144,2500717,0,0,303573,28194,86,0,0,1186,0,0,2427923,83,0,303490,0,0,0,0,0,38002,103,4215913,0,0,0,2993899,86985713,0,0,0,250236,24738854,66
195077512,2500967,0,0,303832,31281,80,0,0,1187,0,0,2430045,73,0,303759,0,0,0,0,0,38031,90,4214388,0,0,0,2993987,92218472,0,0,0,250406,25394581,69
200079771,2500280,0,0,307416,26153,80,0,0,1201,0,0,2458731,75,0,307341,0,0,0,0,0,38485,88,4265356,0,0,0,2993386,97533133,0,0,0,250586,26060564,73
205081929,2501022,0,0,303837,30709,70,0,0,1187,0,0,2430199,63,0,303774,0,0,0,0,0,38024,61,4221098,0,0,0,2991926,102843669,0,0,0,250737,26726028,67
210083009,2500847,0,0,305880,28148,80,0,0,1195,0,0,2446442,74,0,305806,0,0,0,0,0,38284,74,4245316,0,0,0,2993382,108148090,0,0,0,250903,27390757,66
215085463,2501725,0,0,305622,29446,84,0,0,1194,0,0,2444377,73,0,305549,0,0,0,0,0,38258,75,4231301,0,0,0,2995041,113423826,0,0,0,251058,28051840,69
220086812,2500628,0,0,303831,27364,82,20,0,1186,1,0,2430070,66,0,303765,0,0,0,0,0,38045,67,4246506,0,0,0,2994210,118701362,0,0,0,251220,28713188,70
225089204,2501757,0,0,303572,28691,88,0,0,1186,0,0,2427921,77,0,303495,0,0,0,0,0,38000,82,4205018,0,0,0,2994735,124009805,0,0,0,251373,29378400,76
230090834,2500233,0,0,309462,30122,84,0,0,1209,0,0,2475043,79,0,309383,0,0,0,0,0,38731,87,4285342,0,0,0,2992021,129408143,0,0,0,251572,30054893,71
