timestamp,sample_duration,num_reads,read_cycles,num_writes,write_cycles,num_flushes,flush_cycles,read_cycles_samples,write_cycles_samples,flush_cycles_samples,bytes_read,bytes_written,retired_rw,retired_movnti,retired_movntq,retired_movntqd,retired_movntps,retired_mfence,retired_sfence,retired_lfence,wpq_inserts,rpq_inserts,wpq_occupancy,rpq_occupancy,dram_rpq_inserts,dram_rpq_occupancy,unc_ticks,total_read_write,retired_all_stores,l3_misses_local_pmm,l3_misses_remote_pmm,any_scoop_pmm,any_scoop_l3_miss_dram,total_addr_distance
5005664,2503762,0,0,112643,31949,12,0,0,440,0,0,901076,4,0,110503,0,2136,0,247,0,14354,6,1558467,0,0,0,2998369,2549716,0,0,0,6,320033,2135
10010518,2503126,0,0,112777,28751,68,0,0,440,0,0,901621,53,0,103885,0,8839,0,85,0,15244,59,1667653,0,0,0,2996221,5046701,0,0,0,65,633155,8829
15013685,2502221,0,0,138197,28108,64,0,0,540,0,0,1105034,50,0,128953,0,9194,0,267,0,18463,56,2069017,0,0,0,2995235,7725287,0,0,0,121,969583,9190
20017286,2502173,0,0,171721,26885,24,0,0,671,0,0,1373522,22,0,167817,0,3882,0,43,0,21969,22,2457702,0,0,0,2995962,11182706,0,0,0,277,1403464,3877
25021012,2502824,0,0,199224,27295,6,0,0,778,0,0,1593730,6,0,197629,0,1589,0,197,0,25109,4,2812342,0,0,0,2996605,14935475,0,0,0,340,1874029,1588
30023634,2501865,0,0,237757,25829,12,0,0,929,0,0,1901924,16,0,235451,0,2290,0,317,0,30013,12,3356159,0,0,0,2994994,19431793,0,0,0,422,2438728,2289
35026112,2502054,0,0,246929,26385,54,0,0,965,0,0,1974984,40,0,237768,0,9121,0,84,0,32034,40,3629722,0,0,0,2995565,23956264,0,0,0,581,3006295,9111
40027118,2500883,0,0,268690,20625,98,0,0,1049,0,0,2148636,80,0,202264,0,66346,0,317,0,41941,90,4787157,0,0,0,2993992,28654703,0,0,0,733,3595649,66339
45027881,2500693,0,0,278784,20914,0,0,0,1089,0,0,2230272,0,0,0,0,278784,0,0,0,69699,0,8654261,0,0,0,2994437,33172591,0,0,0,733,4161628,278783
50039102,2505052,52927,10626,24564,1894,2656,106,224,79,5,390666,170527,56408,0,1776,0,19307,0,29,0,6430,20185,974695,0,0,0,2996700,35356372,0,1913,0,28356,4447011,22503
55043634,2503643,46857,9787,30533,4150,6976,890,175,128,13,338560,220182,50033,0,1577,0,25780,0,18,0,8032,19986,1201182,0,0,0,2997437,36458104,0,4443,0,64823,4605931,31702
60044558,2500729,50808,5608,189362,20233,2146,92,195,745,3,371395,1513311,51496,0,188237,0,437,0,1957,0,23887,22597,2727568,0,0,0,2994037,40843357,0,6376,0,90851,5164211,15285
65046113,2500790,21389,1611,273346,19498,194,0,85,1066,0,167808,2185774,21620,0,273115,0,0,0,80,0,34247,3787,3834636,0,0,0,2994428,45922763,0,6807,0,103862,5804053,442
70048845,2501378,2621,201,292536,21069,10,0,11,1142,0,20639,2340214,2631,0,292526,0,0,0,6,0,36574,457,4102424,0,0,0,2994470,50942752,0,6901,0,110493,6434046,7
75051411,2500980,50481,4038,223478,16467,206,0,201,870,0,397954,1785661,50770,0,222775,0,414,0,114,0,28115,8611,3188796,0,0,0,2994427,55954362,0,7027,0,119430,7063137,536
80052538,2500138,2449,197,299347,21280,28,0,11,1168,0,19214,2394505,2486,0,299310,0,0,0,14,0,37434,444,4126702,0,0,0,2993196,61170936,0,7042,0,120348,7716834,14
85054174,2501127,2025,147,296703,21255,24,0,8,1159,0,15857,2373345,2062,0,296505,0,161,0,12,0,37125,429,4164732,0,0,0,2994904,66158619,0,7206,0,131855,8343818,171
90056981,2502308,1438,108,298587,23354,4,0,6,1166,0,11364,2388612,1450,0,298575,0,0,0,5,0,37327,219,4151746,0,0,0,2993871,71400660,0,7218,0,132712,9000568,3
95058771,2501040,3660,2860,293259,23848,42,0,15,1145,0,28636,2345639,3719,0,293073,0,127,0,20,0,36698,723,4098343,0,0,0,2994429,76227603,0,7428,0,147731,9608367,146
100061272,2502162,539,36,299234,21941,2,0,2,1169,0,4214,2393851,542,0,299231,0,0,0,2,0,37409,118,4154277,0,0,0,2995776,81394961,0,7440,0,148748,10255888,3
105063420,2500455,79652,6368,182751,15438,460,0,313,713,0,625414,1457065,80325,0,181742,0,336,0,279,0,23143,14397,2745252,0,0,0,2993831,86206379,0,7750,0,169163,10862397,587
110066472,2501949,8725,586,288426,24615,66,0,32,1128,0,68505,2306700,8821,0,288132,0,198,0,32,0,36118,1598,4030613,0,0,0,2994987,91395167,0,7784,0,171311,11512745,231
115069529,2500685,4059,609,284672,21163,54,417,14,1113,1,31674,2277171,4086,0,284604,0,41,0,10,0,35606,755,3990038,0,0,0,2993248,96064396,0,8067,0,191565,12101338,86
120071226,2500315,3410,255,297872,21332,28,0,14,1163,0,26650,2382698,3448,0,297834,0,0,0,16,0,37254,709,4208807,0,0,0,2993581,101320581,0,8101,0,193649,12760194,14
125072522,2501218,166315,14742,69303,7333,818,23,638,283,1,1307742,545725,167492,0,68074,0,52,0,517,0,9139,30015,1327710,0,0,0,2994986,105979865,0,8650,0,228503,13349627,506
132574942,2500100,0,0,290439,21766,70,0,0,1135,0,0,2322905,53,0,281233,0,9153,0,86,0,37492,60,4215534,0,0,0,2993169,113954925,0,8668,0,230032,14347825,9144
137576714,2501347,0,0,281631,20425,136,0,0,1100,0,0,2251833,113,0,257849,0,23669,0,413,0,38249,126,4392898,0,0,0,2994744,118899680,0,8668,0,230215,14966740,23646
142580303,2502678,0,0,292038,21716,80,0,0,1141,0,0,2335524,68,0,280675,0,11295,0,530,0,37964,98,4265820,0,0,0,2996084,124018973,0,8668,0,230371,15608706,11289
147583020,2501050,0,0,285775,20651,78,18,0,1116,1,0,2285509,65,0,275967,0,9743,0,394,0,36982,71,4163337,0,0,0,2993346,129092242,0,8668,0,230442,16245218,9739
