timestamp,sample_duration,num_reads,read_cycles,num_writes,write_cycles,num_flushes,flush_cycles,read_cycles_samples,write_cycles_samples,flush_cycles_samples,bytes_read,bytes_written,retired_rw,retired_movnti,retired_movntq,retired_movntqd,retired_movntps,retired_mfence,retired_sfence,retired_lfence,wpq_inserts,rpq_inserts,wpq_occupancy,rpq_occupancy,dram_rpq_inserts,dram_rpq_occupancy,unc_ticks,total_read_write,retired_all_stores,l3_misses_local_pmm,l3_misses_remote_pmm,any_scoop_pmm,any_scoop_l3_miss_dram,total_addr_distance
5003308,2501050,0,0,115200,34351,0,0,0,450,0,0,115200,115200,0,0,0,0,0,0,0,1704,1872,179488,0,0,0,2994147,326912,0,0,0,5483,324372,16
10009614,2505153,0,0,118016,30411,0,0,0,461,0,0,118016,118016,0,0,0,0,0,0,0,1779,1890,191343,0,0,0,2998719,644608,0,0,0,10602,642908,6
15012645,2501413,0,0,175104,31195,0,0,0,684,0,0,175104,175104,0,0,0,0,0,0,0,2649,2770,286199,0,0,0,2993878,1076480,0,0,0,16507,1025500,9
20016865,2502889,0,0,174592,32489,0,0,0,682,0,0,174592,174592,0,0,0,0,0,0,0,2731,2757,299579,0,0,0,2996029,1530368,0,0,0,23631,1480361,9
25018967,2501177,0,0,232960,30492,0,0,0,910,0,0,232960,232960,0,0,0,0,0,0,0,3705,3665,415117,0,0,0,2994433,2263808,0,0,0,31430,2007081,11
30020374,2500571,0,0,232960,34722,0,0,0,910,0,0,327936,219392,0,13568,0,0,0,0,0,5263,3424,583902,0,0,0,2992728,2934784,0,0,0,40240,2584327,5
35021650,2500164,0,0,297472,38206,0,0,0,1162,0,0,297472,297472,0,0,0,0,0,0,0,4661,4660,518245,0,0,0,2992507,3812608,0,0,0,49829,3228805,15
40024297,2501349,0,0,297216,39541,0,0,0,1161,0,0,297216,297216,0,0,0,0,0,0,0,4579,4694,504655,0,0,0,2994382,4494080,0,0,0,60553,3911737,17
45025936,2500319,0,0,296192,36530,0,0,0,1157,0,0,296192,296192,0,0,0,0,0,0,0,4702,4653,540898,0,0,0,2993160,5173504,0,0,0,71195,4592586,11
50027775,2501304,0,0,303104,31203,0,0,0,1184,0,0,303104,303104,0,0,0,0,0,0,0,4752,4767,536027,0,0,0,2993782,5927936,0,0,0,81960,5287588,21
55030423,2501596,0,0,304896,33348,0,0,0,1191,0,0,480512,279808,0,25088,0,0,0,0,0,7477,4411,832615,0,0,0,2994301,6808064,0,0,0,92605,5993708,23
60032541,2501715,0,0,296192,34247,0,0,0,1157,0,0,296192,296192,0,0,0,0,0,0,0,4692,4664,518006,0,0,0,2994964,7504128,0,0,0,103522,6691219,8
65033688,2500878,0,0,304384,33479,0,0,0,1189,0,0,304384,304384,0,0,0,0,0,0,0,4727,4790,531060,0,0,0,2993762,8388608,0,0,0,114150,7394413,9
70035481,2501725,0,0,306176,34689,0,0,0,1196,0,0,707584,248832,0,57344,0,0,0,0,0,11168,3976,1232696,0,0,0,2994623,9492480,0,0,0,124350,8098395,14
75038205,2502563,0,0,304896,31261,0,0,0,1191,0,0,304896,304896,0,0,0,0,0,0,0,4747,4839,534674,0,0,0,2995620,10196480,0,0,0,135420,8803909,13
80041001,2501682,0,0,307712,35793,0,0,0,1202,0,0,307712,307712,0,0,0,0,0,0,0,4770,4858,565655,0,0,0,2994982,10907648,0,0,0,146519,9513001,12
85044370,2501421,0,0,306176,34161,0,0,0,1196,0,0,410112,291328,0,14848,0,0,0,0,0,6391,4593,717453,0,0,0,2994378,11723264,0,0,0,157468,10226208,8
90046204,2500377,0,0,300800,30761,0,0,0,1175,0,0,300800,300800,0,0,0,0,0,0,0,4742,4738,528519,0,0,0,2993060,12426752,0,0,0,168531,10931207,7
95048135,2501072,0,0,305664,35357,0,0,0,1194,0,0,305664,305664,0,0,0,0,0,0,0,4792,4777,535644,0,0,0,2993719,13176576,0,0,0,179538,11639542,10
100048854,2500415,0,0,307968,31809,0,0,0,1203,0,0,587520,268032,0,39936,0,0,0,0,0,9225,4221,1019100,0,0,0,2993048,14161664,0,0,0,189975,12346573,26
105049369,2500228,0,0,306176,32462,0,0,0,1196,0,0,306176,306176,0,0,0,0,0,0,0,4866,4819,533764,0,0,0,2993133,14869248,0,0,0,201085,13055678,11
110050551,2500781,0,0,311552,30819,0,0,0,1217,0,0,311552,311552,0,0,0,0,0,0,0,4910,4879,536701,0,0,0,2993585,15717632,0,0,0,211882,13765774,6
115055061,2502335,0,0,310016,35043,0,0,0,1211,0,0,564480,273664,0,36352,0,0,0,0,0,8885,4282,977119,0,0,0,2996122,16671488,0,0,0,222252,14466734,9
120056688,2501189,0,0,292096,30687,0,0,0,1141,0,0,292096,292096,0,0,0,0,0,0,0,4566,4568,496915,0,0,0,2994439,17370880,0,0,0,233187,15167595,2
125058115,2500311,0,0,307456,37758,0,0,0,1201,0,0,307456,307456,0,0,0,0,0,0,0,4755,4810,516014,0,0,0,2993300,18226176,0,0,0,243965,15877461,8
130059617,2501382,0,0,304610,34114,60,0,0,1190,0,0,2436404,60,0,304550,0,0,0,0,0,38136,69,4217683,0,0,0,2994443,21814580,0,0,0,248397,16572176,54
135060024,2500212,0,0,303072,33389,64,30,0,1183,1,0,2424098,58,0,303014,0,0,0,0,0,37936,52,4183438,0,0,0,2991431,26951152,0,0,0,248553,17215867,59
