timestamp,sample_duration,num_reads,read_cycles,num_writes,write_cycles,num_flushes,flush_cycles,read_cycles_samples,write_cycles_samples,flush_cycles_samples,bytes_read,bytes_written,retired_rw,retired_movnti,retired_movntq,retired_movntqd,retired_movntps,retired_mfence,retired_sfence,retired_lfence,wpq_inserts,rpq_inserts,wpq_occupancy,rpq_occupancy,dram_rpq_inserts,dram_rpq_occupancy,unc_ticks,total_read_write,retired_all_stores,l3_misses_local_pmm,l3_misses_remote_pmm,any_scoop_pmm,any_scoop_l3_miss_dram,total_addr_distance
5003664,2502327,0,0,112387,32080,12,0,0,439,0,0,899028,4,0,110247,0,2136,0,247,0,14323,19,1547185,0,0,0,2996492,2547668,0,0,0,19,319688,2135
10005745,2500774,0,0,123785,29751,68,0,0,483,0,0,989685,53,0,114893,0,8839,0,85,0,16620,59,1812953,0,0,0,2993700,5138861,0,0,0,78,644594,8829
15008423,2500107,0,0,121557,27898,64,0,0,475,0,0,971914,50,0,112313,0,9194,0,267,0,16382,58,1784621,0,0,0,2993282,7803111,0,0,0,136,979171,9190
20009439,2500134,0,0,175266,26026,78,0,0,685,0,0,1401403,63,0,160845,0,14358,0,311,0,23754,69,2675451,0,0,0,2992993,10928754,0,0,0,281,1371466,14341
25012078,2500867,0,0,179256,26336,6,0,0,700,0,0,1433986,6,0,177661,0,1589,0,197,0,22612,4,2513798,0,0,0,2994389,14695859,0,0,0,340,1843772,1588
30014442,2501639,0,0,241698,23261,0,0,0,944,0,0,1933584,0,0,239549,0,2149,0,478,0,30484,0,3455615,0,0,0,2994432,18866909,0,0,0,410,2367386,2147
35019378,2502815,0,0,239524,23002,52,0,0,936,0,0,1915654,54,0,230174,0,9296,0,66,0,31140,60,3529710,0,0,0,2996311,23382096,0,0,0,548,2933860,9284
40021224,2501607,0,0,290175,26567,110,0,0,1134,0,0,2320406,90,0,264283,0,25802,0,330,0,39565,92,4595428,0,0,0,2995305,28308591,0,0,0,737,3551964,25794
45024178,2500642,0,0,290560,20942,0,0,0,1135,0,0,2324480,0,0,0,0,290560,0,0,0,72642,0,8110548,0,0,0,2994177,32892015,0,0,0,737,4126107,290559
50030723,2500828,49657,11779,26930,4493,2924,30,203,101,1,367919,189730,53010,0,1940,0,21637,0,31,0,7049,18738,1065366,0,0,0,2994089,35278802,0,1722,0,25574,4435564,24685
55039617,2506920,47398,5688,30245,5821,6980,1087,177,120,20,342211,217678,50577,0,1474,0,25592,0,19,0,7972,19800,1209684,0,0,0,3000584,36367656,0,4155,0,60694,4592618,31489
60041735,2501338,50808,5254,180658,14139,2146,197,199,703,6,371395,1443679,51496,0,179533,0,437,0,1957,0,22821,22824,2596729,0,0,0,2994776,40333405,0,6529,0,90668,5099827,15286
65045259,2501589,36431,4172,255213,18878,266,18,140,999,1,285283,2040242,36747,0,254897,0,0,0,319,0,32020,6854,3588998,0,0,0,2994060,45480430,0,6981,0,104007,5748112,1031
70045944,2500080,2621,189,303800,21913,10,0,10,1187,0,20639,2430326,2631,0,303790,0,0,0,6,0,37981,456,4221677,0,0,0,2992991,50789152,0,7071,0,110664,6414117,7
75047741,2500632,50481,3950,233462,16780,206,54,193,913,3,397954,1865533,50770,0,232759,0,414,0,114,0,29364,8515,3313354,0,0,0,2993755,55980986,0,7193,0,119507,7065752,536
80050724,2501616,4718,323,303464,21679,38,0,18,1186,0,37086,2427266,4780,0,303402,0,0,0,23,0,37954,866,4186677,0,0,0,2995550,61409985,0,7222,0,120850,7746104,19
85054380,2501984,3043,255,303106,21541,28,0,14,1182,0,23938,2424530,3085,0,302903,0,161,0,13,0,37930,568,4205382,0,0,0,2994323,66555805,0,7388,0,132003,8392858,172
90057993,2501774,1799,131,296172,21777,10,0,7,1157,0,14196,2369235,1818,0,296153,0,0,0,8,0,37034,327,4131852,0,0,0,2995247,71887765,0,7398,0,132954,9060869,5
95060753,2500685,1461,94,307769,23637,18,0,5,1203,0,11450,2461945,1490,0,307740,0,0,0,9,0,38482,303,4242578,0,0,0,2993946,76857893,0,7621,0,147965,9686591,9
100062064,2500294,3635,1184,304053,25859,22,0,14,1188,0,28576,2432146,3673,0,303905,0,110,0,13,0,38034,666,4200084,0,0,0,2992596,82313539,0,7641,0,149301,10370269,122
105066425,2501530,6252,517,298608,24547,34,0,26,1165,0,48854,2388583,6291,0,297957,0,612,0,19,0,37423,1164,4146921,0,0,0,2994793,87221856,0,7941,0,169138,10988823,631
