timestamp,sample_duration,num_reads,read_cycles,num_writes,write_cycles,num_flushes,flush_cycles,read_cycles_samples,write_cycles_samples,flush_cycles_samples,bytes_read,bytes_written,retired_rw,retired_movnti,retired_movntq,retired_movntqd,retired_movntps,retired_mfence,retired_sfence,retired_lfence,wpq_inserts,rpq_inserts,wpq_occupancy,rpq_occupancy,dram_rpq_inserts,dram_rpq_occupancy,unc_ticks,total_read_write,retired_all_stores,l3_misses_local_pmm,l3_misses_remote_pmm,any_scoop_pmm,any_scoop_l3_miss_dram,total_addr_distance
5003812,2501345,0,0,113920,32697,0,0,0,445,0,0,113920,113920,0,0,0,0,0,0,0,1620,1853,179720,0,0,0,2996823,326656,0,0,0,5436,324192,16
10005504,2501112,0,0,117504,31944,0,0,0,459,0,0,117504,117504,0,0,0,0,0,0,0,1874,1848,199536,0,0,0,2993249,644608,0,0,0,10528,642863,6
15009598,2502966,0,0,176640,32133,0,0,0,690,0,0,176640,176640,0,0,0,0,0,0,0,2713,2797,305333,0,0,0,2996388,1111552,0,0,0,17031,1060579,11
20014178,2502244,0,0,165888,29226,0,0,0,648,0,0,165888,165888,0,0,0,0,0,0,0,2519,2631,272451,0,0,0,2995813,1554688,0,0,0,23984,1504660,9
25016597,2501772,0,0,224000,36401,0,0,0,875,0,0,224000,224000,0,0,0,0,0,0,0,3593,3530,398644,0,0,0,2995332,2280960,0,0,0,31695,2024177,11
30018317,2500347,0,0,237312,36333,0,0,0,927,0,0,470272,204032,0,33280,0,0,0,0,0,7560,3189,840363,0,0,0,2992993,3108864,0,0,0,40503,2620389,8
35019928,2500887,0,0,303360,45759,0,0,0,1185,0,0,303360,303360,0,0,0,0,0,0,0,4705,4779,530276,0,0,0,2994219,3866368,0,0,0,50662,3282527,14
40022107,2501515,0,0,303104,47198,0,0,0,1184,0,0,303104,303104,0,0,0,0,0,0,0,4714,4771,529089,0,0,0,2994801,4566272,0,0,0,61641,3983921,14
45022258,2500131,0,0,305408,45002,0,0,0,1193,0,0,305408,305408,0,0,0,0,0,0,0,4868,4797,535496,0,0,0,2993039,5271296,0,0,0,72713,4690433,10
50024278,2500623,0,0,304640,44227,0,0,0,1190,0,0,304640,304640,0,0,0,0,0,0,0,4779,4816,539272,0,0,0,2993635,6038272,0,0,0,83688,5397957,22
55026186,2500767,0,0,309504,43785,0,0,0,1209,0,0,477952,285440,0,24064,0,0,0,0,0,7519,4471,832775,0,0,0,2993582,6930944,0,0,0,94523,6116517,24
60027114,2500043,0,0,310784,43622,0,0,0,1214,0,0,310784,310784,0,0,0,0,0,0,0,4880,4869,546367,0,0,0,2993037,7652352,0,0,0,105822,6839432,13
65028220,2500165,0,0,310784,41838,0,0,0,1214,0,0,310784,310784,0,0,0,0,0,0,0,4816,4907,541035,0,0,0,2993977,8550656,0,0,0,116649,7556475,11
70028632,2500275,0,0,309248,46501,0,0,0,1208,0,0,475904,285440,0,23808,0,0,0,0,0,7149,4501,803455,0,0,0,2993091,9665280,0,0,0,126929,8271206,16
75029502,2500377,0,0,312320,43826,0,0,0,1220,0,0,312320,312320,0,0,0,0,0,0,0,4908,4924,557101,0,0,0,2993165,10388224,0,0,0,138266,8995673,8
80031728,2500482,0,0,316928,44230,0,0,0,1238,0,0,316928,316928,0,0,0,0,0,0,0,4991,4980,550178,0,0,0,2993637,11129600,0,0,0,149808,9735017,15
85033463,2501141,0,0,311040,45561,0,0,0,1215,0,0,311040,311040,0,0,0,0,0,0,0,4911,4878,537175,0,0,0,2994500,11959552,0,0,0,160945,10462547,20
90034292,2500062,0,0,317952,44753,0,0,0,1242,0,0,360960,311808,0,6144,0,0,0,0,0,5639,4900,604442,0,0,0,2992713,12735232,0,0,0,172335,11196742,11
95038226,2501979,0,0,316160,48520,0,0,0,1235,0,0,316160,316160,0,0,0,0,0,0,0,4964,4938,554936,0,0,0,2995634,13467136,0,0,0,183762,11930190,6
100042108,2502363,0,0,307456,42011,0,0,0,1201,0,0,307456,307456,0,0,0,0,0,0,0,4844,4815,541708,0,0,0,2996019,14471680,0,0,0,194514,12656820,9
105044212,2501634,0,0,316160,42922,0,0,0,1235,0,0,455936,296192,0,19968,0,0,0,0,0,7123,4622,776415,0,0,0,2994831,15351552,0,0,0,205762,13398451,7
110047622,2501295,0,0,321792,45302,0,0,0,1257,0,0,321792,321792,0,0,0,0,0,0,0,4954,5034,535409,0,0,0,2994321,16098048,0,0,0,217443,14146492,4
115048899,2500534,0,0,317952,41958,0,0,0,1242,0,0,317952,317952,0,0,0,0,0,0,0,5015,4971,542736,0,0,0,2993650,17089280,0,0,0,228408,14884787,13
120051323,2501843,0,0,318720,48316,0,0,0,1245,0,0,465664,297728,0,20992,0,0,0,0,0,7291,4678,792885,0,0,0,2995608,17983488,0,0,0,239772,15633583,8
125052092,2500324,0,0,315390,41722,4,0,0,1232,0,0,1903056,88580,0,226810,0,0,0,0,0,30036,1369,3327662,0,0,0,2993984,20320208,0,0,0,247921,16384200,31
130053537,2500405,0,0,307676,46080,72,63,0,1200,2,0,2460871,63,0,307613,0,0,0,0,0,38530,63,4390380,0,0,0,2993225,25634681,0,0,0,248090,17050147,63
135053954,2500346,0,0,309208,45767,80,0,0,1208,0,0,2473180,56,0,309152,0,0,0,0,0,38710,78,4269491,0,0,0,2993287,31045631,0,0,0,248253,17728189,77
