timestamp,sample_duration,num_reads,read_cycles,num_writes,write_cycles,num_flushes,flush_cycles,read_cycles_samples,write_cycles_samples,flush_cycles_samples,bytes_read,bytes_written,retired_rw,retired_movnti,retired_movntq,retired_movntqd,retired_movntps,retired_mfence,retired_sfence,retired_lfence,wpq_inserts,rpq_inserts,wpq_occupancy,rpq_occupancy,dram_rpq_inserts,dram_rpq_occupancy,unc_ticks,total_read_write,retired_all_stores,l3_misses_local_pmm,l3_misses_remote_pmm,any_scoop_pmm,any_scoop_l3_miss_dram,total_addr_distance
5005524,2504872,0,0,113155,32334,12,0,0,442,0,0,905172,4,0,111015,0,2136,0,247,0,14417,13,1556141,0,0,0,2999154,2545620,0,0,0,13,319483,2135
10013691,2505146,0,0,112265,28546,68,0,0,438,0,0,897525,53,0,103373,0,8839,0,85,0,15181,59,1660013,0,0,0,2998982,5044653,0,0,0,72,632823,8829
15017921,2504160,0,0,112873,28141,60,0,0,441,0,0,902482,46,0,104334,0,8493,0,249,0,15206,54,1671923,0,0,0,2996281,7512495,0,0,0,126,942810,8490
20018753,2500273,0,0,166306,26794,78,0,0,650,0,0,1329723,63,0,151885,0,14358,0,311,0,22635,69,2541718,0,0,0,2993871,10961522,0,0,0,279,1375694,14341
25020376,2501473,0,0,170552,27559,6,0,0,666,0,0,1364354,6,0,168957,0,1589,0,197,0,21523,4,2383965,0,0,0,2994804,14486963,0,0,0,339,1817784,1588
30023182,2501511,0,0,229410,24191,0,0,0,896,0,0,1835280,0,0,227261,0,2149,0,478,0,28948,0,3257668,0,0,0,2994690,18883293,0,0,0,410,2369669,2147
35026041,2501890,0,0,227492,23700,52,0,0,889,0,0,1819398,54,0,218142,0,9296,0,66,0,29636,59,3362957,0,0,0,2995460,23273552,0,0,0,546,2920543,9284
40027999,2501354,0,0,285008,23903,106,0,0,1114,0,0,2279106,86,0,269346,0,15576,0,123,0,37639,106,4382422,0,0,0,2993419,28040826,0,0,0,692,3518330,15568
45032091,2502322,0,0,274688,23131,0,0,0,1073,0,0,2197504,0,0,0,0,274688,0,0,0,68674,0,8360112,0,0,0,2997528,32457839,0,0,0,735,4071960,274687
50036400,2503182,52265,9002,26884,2628,2914,155,192,115,8,389163,189285,55632,0,1834,0,21683,0,34,0,7046,19245,1087051,0,0,0,2994773,35172182,0,1378,0,21981,4420916,24640
55041195,2504528,45727,9902,29584,4954,6972,324,168,128,11,329713,212202,48949,0,1541,0,24821,0,51,0,7800,19336,1192010,0,0,0,2998068,36261136,0,3825,0,56729,4577801,30574
60043485,2501928,40438,5409,209141,14910,2030,141,158,817,4,292656,1671833,40839,0,208359,0,381,0,1822,0,26316,19755,2969829,0,0,0,2995172,39989252,0,6337,0,87791,5056301,12953
65044570,2500983,36431,4194,249325,23557,266,0,141,976,0,285283,1993138,36747,0,249009,0,0,0,319,0,31284,6695,3533285,0,0,0,2995032,44874222,0,6962,0,103945,5672613,1031
70047054,2501459,37898,2649,247636,19540,160,0,144,972,0,298515,1979393,38127,0,247407,0,0,0,82,0,31034,6449,3510418,0,0,0,2994221,49902440,0,7055,0,110573,6303517,184
75049353,2500524,33071,2347,249175,19579,112,0,126,976,0,260998,1992265,33224,0,248608,0,414,0,66,0,31269,5405,3509590,0,0,0,2991888,54899708,0,7126,0,116294,6930266,481
80052584,2502621,1333,114,300228,21370,6,0,6,1172,0,10419,2401722,1347,0,300214,0,0,0,4,0,37533,248,4185164,0,0,0,2996151,60008545,0,7175,0,119913,7570852,6
85052991,2500002,542,43,304095,21640,4,0,2,1188,0,4238,2432711,549,0,304088,0,0,0,1,0,38017,87,4235679,0,0,0,2991816,64992073,0,7339,0,131398,8197354,3
90054887,2501022,2664,182,303758,22005,8,0,10,1187,0,21067,2429955,2679,0,303743,0,0,0,6,0,37974,392,4217192,0,0,0,2993708,70311246,0,7354,0,132585,8863859,4
95057855,2500159,40524,3698,235639,19096,296,22,157,922,1,317766,1881876,40964,0,235072,0,127,0,169,0,29642,7408,3398096,0,0,0,2994084,75111538,0,7593,0,147637,9468317,278
100059824,2501649,1480,92,297000,23486,16,0,5,1161,0,11602,2375807,1507,0,296793,0,180,0,8,0,37159,309,4135898,0,0,0,2995130,80264465,0,7609,0,148608,10114049,188
105061645,2501814,106190,11291,136560,12856,642,23,415,533,1,833840,1085779,107097,0,135653,0,0,0,385,0,17429,19060,2186533,0,0,0,2995602,84927430,0,7925,0,168403,10701784,346
110063207,2500147,7197,636,294844,21017,34,0,29,1151,0,56806,2358417,7242,0,294784,0,15,0,22,0,36880,1176,4101887,0,0,0,2990641,90116311,0,7955,0,170481,11352102,35
115064429,2500818,59766,4521,217868,16603,378,0,231,854,0,469854,1739198,60272,0,217321,0,41,0,193,0,27424,10758,3146372,0,0,0,2994285,94946825,0,8264,0,191147,11960921,262
