timestamp,sample_duration,num_reads,read_cycles,num_writes,write_cycles,num_flushes,flush_cycles,bytes_read,bytes_written,retired_rw,retired_movnti,retired_movntq,retired_movntqd,retired_movntps,retired_mfence,retired_sfence,retired_lfence,wpq_inserts,rpq_inserts,wpq_occupancy,rpq_occupancy,dram_rpq_inserts,dram_rpq_occupancy,unc_ticks,total_read_write,retired_all_stores,l3_misses_local_pmm,l3_misses_remote_pmm,any_scoop_pmm,any_scoop_l3_miss_dram,total_addr_distance
6696419,5021506,142720,22214864,139904,2748100,0,0,1141760,1119232,142720,0,139904,0,0,0,0,0,233875,270955,46609794,7317146,218152,6573283,6032942,2924544,2484262,1765,0,47977,281933,1095
13402369,5029551,236288,4567992,229632,4594642,0,0,1890304,1837056,236288,0,229632,0,0,0,0,0,11855,8660,2892920,18285267,319887,9962954,5901907,6053888,4735992,3900,0,99074,236932,1797
20101943,5029381,228864,4477218,233984,4662166,0,0,1830912,1871872,228864,0,233984,0,0,0,0,0,14981,15775,2506041,18967192,111301,5648913,5911424,9207808,6981561,6067,0,148653,235176,1784
26789036,5013974,229376,4450906,231424,14495814,0,0,1835008,1851392,229376,0,231424,0,0,0,0,0,14144,188725,2300451,112639221,192099,5913643,2700684,12181504,9162867,8030,0,196286,232911,1815
33486978,5019754,242432,4655636,228608,4520944,0,0,1939456,1828864,242432,0,228608,0,0,0,0,0,17156,58734,491839,1371801,458735,3552302,399443,15310848,11408487,10129,0,247340,237049,1855
40181601,5023327,240768,4619382,226176,4494602,0,0,1926144,1809408,240768,0,226176,0,0,0,0,0,17562,47290,1186127,2261766,472065,8077975,558211,18432000,13639717,12189,0,296898,234339,1826
46889973,5029299,235776,4607636,226048,4502110,0,0,1886208,1808384,235776,0,226048,0,0,0,0,0,18559,36944,1741229,9683858,277071,8791369,5878442,21520384,15861991,14296,0,345600,234980,1806
53583443,5018965,234752,4538710,231168,4669046,0,0,1878016,1849344,234752,0,231168,0,0,0,0,0,14610,17070,2932318,18258314,132426,7011584,5919286,24616960,18075131,16464,0,396314,232841,1837
60285286,5022570,234496,4500076,234496,4670026,0,0,1875968,1875968,234496,0,234496,0,0,0,0,0,11553,30791,2032994,16855070,172868,4819674,5686259,27721728,20302255,18667,0,447384,234807,1840
66987532,5022816,234624,4567514,232320,4686706,0,0,1876992,1858560,234624,0,232320,0,0,0,0,0,9787,24073,2258617,9719589,237507,7988625,417438,30875648,22540914,20788,0,497923,234450,1798
73697985,5030270,231680,4450894,238336,4760466,0,0,1853440,1906688,231680,0,238336,0,0,0,0,0,17455,44102,1139855,10445192,348479,5531159,400392,34004992,24792665,22853,0,547033,238081,1822
80398489,5026060,224128,4302148,238720,4722270,0,0,1793024,1909760,224128,0,238720,0,0,0,0,0,26346,31131,1206919,13012581,298444,5590872,5662300,37076992,26974731,24878,0,595210,228406,1811
87108662,5029990,231040,4531098,236928,4689324,0,0,1848320,1895424,231040,0,236928,0,0,0,0,0,27637,45276,986377,9829918,242103,2768585,5896384,40222720,29205193,27061,0,647196,233471,1837
93804444,5023355,240256,4618710,230784,4581154,0,0,1922048,1846272,240256,0,230784,0,0,0,0,0,12242,39359,2098456,9030779,284700,5344835,5919517,43352064,31450776,29138,0,697124,237048,1833
100498263,5015563,233472,4498500,228352,4501556,0,0,1867776,1826816,233472,0,228352,0,0,0,0,0,0,20853,1550598,13439671,396366,7984823,654563,46424064,33626687,31248,0,746239,227516,1796
107190906,5014238,226816,4390208,235008,4721734,0,0,1814528,1880064,226816,0,235008,0,0,0,0,0,8390,14719,2285400,11251040,320299,10144336,439020,49553408,35834614,33308,0,793505,230929,1813
113886623,5023029,229504,4446822,238464,4778554,0,0,1836032,1907712,229504,0,238464,0,0,0,0,0,25313,29474,2857974,11687104,189580,5518515,2716784,52609024,38037373,35331,0,842551,232669,1820
120586468,5018754,228608,4455910,225024,4483722,0,0,1828864,1800192,228608,0,225024,0,0,0,0,0,28124,46070,1775963,11885084,194513,2951388,5828846,55648256,40168191,37398,0,891153,221700,1762
127276371,5012603,233728,4576538,233216,4629430,0,0,1869824,1865728,233728,0,233216,0,0,0,0,0,20451,58465,858020,7552824,327949,2157411,5874780,58777600,42376110,39514,0,941184,230436,1818
133973284,5024110,234240,4609978,231680,4632988,0,0,1873920,1853440,234240,0,231680,0,0,0,0,0,4085,40558,1585594,9627246,407751,6523824,3691347,61874176,44595105,41692,0,991420,234016,1821
140663890,5015092,229120,4500128,225536,4498870,0,0,1832960,1804288,229120,0,225536,0,0,0,0,0,7473,14746,2353927,16097089,269418,9799869,734409,64913408,46719800,43762,0,1039727,220668,1769
