timestamp,sample_duration,num_reads,read_cycles,num_writes,write_cycles,num_flushes,flush_cycles,read_cycles_samples,write_cycles_samples,flush_cycles_samples,bytes_read,bytes_written,retired_rw,retired_movnti,retired_movntq,retired_movntqd,retired_movntps,retired_mfence,retired_sfence,retired_lfence,wpq_inserts,rpq_inserts,wpq_occupancy,rpq_occupancy,dram_rpq_inserts,dram_rpq_occupancy,unc_ticks,total_read_write,retired_all_stores,l3_misses_local_pmm,l3_misses_remote_pmm,any_scoop_pmm,any_scoop_l3_miss_dram,total_addr_distance
5001010,2500427,0,0,114176,42058,0,0,0,446,0,0,114176,114176,0,0,0,0,0,0,0,1586,1874,165796,0,0,0,2993231,322560,0,0,0,5413,320068,16
10005699,2503055,0,0,128512,36063,0,0,0,502,0,0,128512,128512,0,0,0,0,0,0,0,1955,2023,208461,0,0,0,2995447,648960,0,0,0,10699,647274,8
15008585,2501054,0,0,147456,37653,0,0,0,576,0,0,147456,147456,0,0,0,0,0,0,0,2274,2340,249409,0,0,0,2993844,1090048,0,0,0,16811,1039125,9
20011468,2502044,0,0,171776,37193,0,0,0,671,0,0,171776,171776,0,0,0,0,0,0,0,2650,2703,288351,0,0,0,2994340,1508352,0,0,0,23454,1458329,10
25015670,2503102,0,0,201472,38549,0,0,0,787,0,0,201472,201472,0,0,0,0,0,0,0,3193,3173,359433,0,0,0,2996232,2225152,0,0,0,30969,1968327,11
30017304,2501566,0,0,227840,40284,0,0,0,890,0,0,227840,227840,0,0,0,0,0,0,0,3441,3581,702655,0,0,0,2993912,2777856,0,0,0,39641,2522203,4
35019410,2500704,0,0,267776,41838,0,0,0,1046,0,0,267776,267776,0,0,0,0,0,0,0,4191,4205,496487,0,0,0,2993732,3745280,0,0,0,48897,3161237,15
40021095,2500495,0,0,275456,44974,0,0,0,1076,0,0,275456,275456,0,0,0,0,0,0,0,4348,4297,489812,0,0,0,2993555,4401920,0,0,0,59150,3819241,14
45022240,2500481,0,0,295424,46026,0,0,0,1154,0,0,295424,295424,0,0,0,0,0,0,0,4783,4636,521564,0,0,0,2993778,5093120,0,0,0,69988,4511901,10
50023454,2500030,0,0,304640,44807,0,0,0,1190,0,0,304640,304640,0,0,0,0,0,0,0,4794,4779,530437,0,0,0,2992324,5854208,0,0,0,80808,5213527,18
55025926,2501572,0,0,304128,45890,0,0,0,1188,0,0,479744,279040,0,25088,0,0,0,0,0,7524,4387,872699,0,0,0,2994133,6727936,0,0,0,91357,5913138,23
60027525,2500461,0,0,298496,42653,0,0,0,1166,0,0,298496,298496,0,0,0,0,0,0,0,4719,4677,523745,0,0,0,2993408,7428096,0,0,0,102311,6614771,8
65030519,2502316,0,0,309760,48820,0,0,0,1210,0,0,309760,309760,0,0,0,0,0,0,0,4862,4832,531766,0,0,0,2995410,8326656,0,0,0,113104,7332050,8
70031684,2500414,0,0,305152,47461,0,0,0,1192,0,0,706560,247808,0,57344,0,0,0,0,0,11079,3891,1220105,0,0,0,2993016,9446144,0,0,0,123456,8051673,14
75032645,2500081,0,0,294400,44493,0,0,0,1150,0,0,294400,294400,0,0,0,0,0,0,0,4659,4602,505829,0,0,0,2992787,10150144,0,0,0,134462,8757176,12
80035317,2502303,0,0,310528,49426,0,0,0,1213,0,0,310528,310528,0,0,0,0,0,0,0,4879,4852,528042,0,0,0,2995731,10879488,0,0,0,145814,9484456,10
85036938,2501592,0,0,311552,47538,0,0,0,1217,0,0,415488,296704,0,14848,0,0,0,0,0,6534,4628,715338,0,0,0,2994809,11713536,0,0,0,156992,10216092,8
90039037,2501832,0,0,308480,47644,0,0,0,1205,0,0,308480,308480,0,0,0,0,0,0,0,4855,4848,531491,0,0,0,2994844,12436736,0,0,0,168327,10940846,7
95041289,2501060,0,0,308992,50949,0,0,0,1207,0,0,308992,308992,0,0,0,0,0,0,0,4925,4869,549778,0,0,0,2994199,13202432,0,0,0,179554,11665061,10
100043036,2501552,0,0,311552,49863,0,0,0,1217,0,0,591104,271616,0,39936,0,0,0,0,0,9276,4262,1017603,0,0,0,2995145,14219008,0,0,0,190461,12403631,27
105045403,2501158,0,0,313088,48106,0,0,0,1223,0,0,313088,313088,0,0,0,0,0,0,0,4948,4885,533116,0,0,0,2994230,14957568,0,0,0,201998,13143724,12
110047612,2501122,0,0,313088,45915,0,0,0,1223,0,0,313088,313088,0,0,0,0,0,0,0,4958,4901,534093,0,0,0,2994052,15831552,0,0,0,213192,13879472,7
115049926,2501694,0,0,311552,48335,0,0,0,1217,0,0,566016,275200,0,36352,0,0,0,0,0,8906,4303,971686,0,0,0,2994612,16829952,0,0,0,224258,14624984,8
120051603,2500538,0,0,312832,47210,0,0,0,1222,0,0,312832,312832,0,0,0,0,0,0,0,4903,4921,537956,0,0,0,2993720,17582336,0,0,0,236073,15378960,4
125053987,2500819,0,0,312576,44497,0,0,0,1221,0,0,312576,312576,0,0,0,0,0,0,0,4874,4883,544436,0,0,0,2993712,18468608,0,0,0,247299,16119837,33
130057069,2501926,0,0,288212,43477,105,0,0,1126,0,0,2305006,82,0,288130,0,0,0,0,0,36085,83,4016950,0,0,0,2995348,23409244,0,0,0,247995,16771473,81
135058984,2500783,0,0,285653,43897,124,0,0,1116,0,0,2284631,71,0,285582,0,0,0,0,0,35759,69,3972821,0,0,0,2993998,28502848,0,0,0,248133,17409851,95
140062484,2502368,0,0,289752,43966,125,0,0,1132,0,0,2317471,63,0,289689,0,0,0,0,0,36276,63,4029876,0,0,0,2994223,33645622,0,0,0,248287,18054320,108
145067115,2502119,0,0,280539,53533,122,0,0,1096,0,0,2243850,54,0,280485,0,0,0,0,0,35120,59,3905066,0,0,0,2994243,38741190,0,0,0,248443,18692861,101
150070776,2501530,0,0,286941,43232,117,0,0,1121,0,0,2294995,63,0,286878,0,0,0,0,0,35950,67,4043689,0,0,0,2994722,43902293,0,0,0,248594,19339604,110
155074437,2503048,0,0,280795,38841,121,0,0,1097,0,0,2245837,61,0,280734,0,0,0,0,0,35154,61,3910910,0,0,0,2996904,48944623,0,0,0,248755,19971483,112
160076486,2501319,0,0,287190,40653,129,0,0,1122,0,0,2296950,70,0,287120,0,0,0,0,0,35959,77,3996139,0,0,0,2994874,54046360,0,0,0,248906,20610777,105
165078712,2501713,0,0,282579,41631,135,0,0,1104,0,0,2259991,79,0,282500,0,0,0,0,0,35379,73,3951390,0,0,0,2993781,59059915,0,0,0,249064,21239032,117
170080179,2501429,0,0,290256,41556,142,0,0,1134,0,0,2321398,78,0,290178,0,0,0,0,0,36350,95,4072433,0,0,0,2994506,64179938,0,0,0,249242,21880627,114
175082829,2502457,0,0,285144,40011,123,0,0,1114,0,0,2280487,79,0,285065,0,0,0,0,0,35692,87,3957717,0,0,0,2995513,69283644,0,0,0,249426,22520198,103
180084454,2500346,0,0,285143,42232,133,0,0,1114,0,0,2280575,67,0,285076,0,0,0,0,0,35719,67,3994150,0,0,0,2993776,74338099,0,0,0,249583,23153586,113
185087147,2501348,0,0,280029,44356,119,0,0,1094,0,0,2239622,74,0,279955,0,0,0,0,0,35064,65,3918063,0,0,0,2995129,79378170,0,0,0,249740,23785219,115
190089333,2500963,0,0,292829,44253,120,0,0,1144,0,0,2342194,50,0,292779,0,0,0,0,0,36645,49,4071436,0,0,0,2993276,84553694,0,0,0,249881,24433763,120
195090058,2500592,0,0,290266,38497,126,0,0,1134,0,0,2321595,63,0,290203,0,0,0,0,0,36333,70,4034524,0,0,0,2993629,89681950,0,0,0,250066,25076416,113
200091803,2501587,0,0,292826,38038,122,0,0,1144,0,0,2342046,70,0,292756,0,0,0,0,0,36656,76,4075925,0,0,0,2995133,94879901,0,0,0,250243,25727779,111
205093742,2501831,0,0,287702,27738,132,0,0,1124,0,0,2300988,76,0,287626,0,0,0,0,0,36014,74,4010478,0,0,0,2995297,100036737,0,0,0,250421,26374031,108
210095912,2500421,0,0,285403,41872,113,0,0,1115,0,0,2282713,61,0,285342,0,0,0,0,0,35750,70,3984032,0,0,0,2991855,105124334,0,0,0,250559,27011555,107
215097475,2500427,0,0,288729,39397,124,0,0,1128,0,0,2309297,65,0,288664,0,0,0,0,0,36144,74,4034811,0,0,0,2992418,110230145,0,0,0,250716,27651377,111
220098491,2500678,0,0,288982,40227,132,0,0,1129,0,0,2311240,76,0,288906,0,0,0,0,0,36173,70,4021489,0,0,0,2993873,115387033,0,0,0,250868,28297617,113
225102072,2502308,0,0,291801,41595,128,0,0,1140,0,0,2333837,69,0,291732,0,0,0,0,0,36521,61,4059554,0,0,0,2994666,120576654,0,0,0,251017,28947959,115
230104756,2500568,0,0,292308,42350,135,29,0,1141,1,0,2337765,85,0,292223,0,0,0,0,0,36591,94,4057752,0,0,0,2993063,125803043,0,0,0,251192,29602932,110
235105144,2500261,0,0,283606,44076,129,0,0,1108,0,0,2268172,84,0,283522,0,0,0,0,0,35501,81,3952723,0,0,0,2993440,130908685,0,0,0,251367,30242747,114
240107506,2501730,0,0,283865,38598,128,0,0,1109,0,0,2270322,70,0,283795,0,0,0,0,0,35575,82,4012088,0,0,0,2993726,135971234,0,0,0,251550,30877174,115
245109409,2500382,0,0,284888,36446,131,0,0,1113,0,0,2278577,65,0,284823,0,0,0,0,0,35655,75,3972659,0,0,0,2993884,141035960,0,0,0,251730,31511859,117
250110036,2500382,0,0,290269,36040,121,0,0,1134,0,0,2321677,57,0,290212,0,0,0,0,0,36330,70,4046451,0,0,0,2993678,146135598,0,0,0,251898,32150902,113
255110715,2500098,0,0,289494,41225,131,0,0,1131,0,0,2315439,59,0,289435,0,0,0,0,0,36233,75,4038855,0,0,0,2993498,151274160,0,0,0,252048,32794821,116
260112807,2500919,0,0,281815,40255,130,0,0,1101,0,0,2253952,64,0,281751,0,0,0,0,0,35312,60,4039788,0,0,0,2993076,156371743,0,0,0,252204,33433611,110
265114159,2501254,0,0,288472,41959,124,93,0,1126,1,0,2307235,67,0,288405,0,0,0,0,0,36107,82,4010642,0,0,0,2994679,161551299,0,0,0,252364,34082710,105
270117182,2501606,0,0,285657,34970,124,0,0,1116,0,0,2284685,69,0,285588,0,0,0,0,0,35776,73,3970627,0,0,0,2993545,166702152,0,0,0,252519,34728266,109
275120186,2500971,0,0,286426,37465,124,0,0,1119,0,0,2290881,65,0,286361,0,0,0,0,0,35847,65,3977207,0,0,0,2993507,171771070,0,0,0,252682,35363495,109
280121719,2500542,0,0,284630,36450,136,0,0,1112,0,0,2276418,74,0,284556,0,0,0,0,0,35631,80,3979803,0,0,0,2993785,176835628,0,0,0,252858,35998183,123
285124000,2500273,0,0,283865,38796,122,0,0,1109,0,0,2270269,77,0,283788,0,0,0,0,0,35532,70,3959682,0,0,0,2993310,181879921,0,0,0,253013,36630324,106
290125588,2501474,0,0,287961,40662,129,0,0,1125,0,0,2303135,67,0,287894,0,0,0,0,0,36043,73,3998109,0,0,0,2994726,186975352,0,0,0,253197,37268860,118
295127436,2500529,0,0,290012,37260,116,22,0,1132,1,0,2319569,65,0,289947,0,0,0,0,0,36298,81,4038816,0,0,0,2993442,192095571,0,0,0,253365,37910482,109
