timestamp,sample_duration,num_reads,read_cycles,num_writes,write_cycles,num_flushes,flush_cycles,bytes_read,bytes_written,retired_rw,retired_movnti,retired_movntq,retired_movntqd,retired_movntps,retired_mfence,retired_sfence,retired_lfence,wpq_inserts,rpq_inserts,wpq_occupancy,rpq_occupancy,dram_rpq_inserts,dram_rpq_occupancy,unc_ticks,total_read_write,retired_all_stores,l3_misses_local_pmm,l3_misses_remote_pmm,any_scoop_pmm,any_scoop_l3_miss_dram,total_addr_distance
6688890,5016427,0,0,372575,17231042,0,0,0,2980600,0,0,362259,0,10316,0,161,0,37753,261260,879779,0,190571,7474143,4912894,4307704,3025262,0,0,0,312910,10317
13376846,5015490,0,0,266184,15087590,0,0,0,2129472,0,0,262656,0,3528,0,56,0,8137,236990,3403344,9029372,94454,1946971,5885617,8010488,5566202,0,0,0,262684,3528
20071698,5016524,0,0,516285,10290576,0,0,0,4130280,0,0,511564,0,4721,0,5955,0,10908,0,7179719,0,180036,6796534,5929488,11763936,8136483,0,0,0,267771,4723
26764233,5017502,0,0,525312,10337060,0,0,0,4202496,0,0,525312,0,0,0,0,0,38570,0,6327042,0,180290,6173941,890048,15392392,10659888,0,0,0,262703,2
33467007,5025601,0,0,504832,10079444,0,0,0,4038656,0,0,504832,0,0,0,2048,0,54810,0,3242113,15,254266,5470990,394779,19218056,13221308,0,0,0,262660,2
40151780,5013020,0,0,527360,10335222,0,0,0,4218880,0,0,527360,0,0,0,0,0,57593,0,306681,0,413534,8236240,2253880,22978184,15789633,0,0,0,264766,2
46849306,5021373,0,0,490496,9622900,0,0,0,3923968,0,0,490496,0,0,0,4096,0,7617,0,3003299,0,333465,8430005,5832722,25962496,18061509,0,0,0,249366,2
53541482,5016912,0,0,522240,10252386,0,0,0,4177920,0,0,522240,0,0,0,0,0,13729,0,7165772,25,203619,6748104,5895869,29739008,20614716,0,0,0,261666,1
60229899,5012642,0,0,501266,10146712,0,0,0,4010128,0,0,495100,0,6166,0,4590,0,32668,0,6670217,12,176770,4797074,3955249,33277952,22982317,0,0,0,242162,6167
66928351,5024754,0,0,489377,9623334,0,0,0,3915016,0,0,483292,0,6085,0,2143,0,54155,0,2891126,9,206598,4768540,414989,36848904,25369780,0,0,0,243170,6086
73614943,5013257,0,0,512000,10266394,0,0,0,4096000,0,0,512000,0,0,0,4096,0,56046,0,600325,0,375674,10135556,4023978,40559880,27871844,0,0,0,257553,1
80308846,5022201,0,0,511905,10390050,0,0,0,4095240,0,0,505820,0,6085,0,2143,0,34530,1,1934841,0,383702,10210153,5904323,44254472,30374739,0,0,0,256560,6086
87000314,5020575,0,0,390144,17450320,0,0,0,3121152,0,0,390144,0,0,0,0,0,8336,55488,5348770,71861118,235572,4332723,5840881,47867072,32826277,0,0,0,251377,2
93685419,5012986,0,0,521216,10245810,0,0,0,4169728,0,0,521216,0,0,0,0,0,33662,0,6506014,41,289490,7369998,2155397,51610816,35352865,0,0,0,258598,5
100377191,5018370,0,0,511991,10004026,0,0,0,4095928,0,0,511351,0,640,0,4105,0,55630,0,4827838,17,188552,3756328,383891,55370944,37935529,0,0,0,268867,641
107063076,5013991,0,0,509868,10045012,0,0,0,4078944,0,0,504470,0,5398,0,84,0,49164,0,70048,0,297290,6107312,1233412,59015712,40400091,0,0,0,251416,5400
113765771,5025532,0,0,514048,10009958,0,0,0,4112384,0,0,514048,0,0,0,0,0,12419,0,3420871,0,408650,9155277,5890477,62792224,42971738,0,0,0,264751,5
120458398,5020762,0,0,527360,10364448,0,0,0,4218880,0,0,527360,0,0,0,0,0,11773,0,7257838,15,370740,8521329,5925789,66535968,45548265,0,0,0,266620,3
127146325,5016436,0,0,514988,10149040,0,0,0,4119904,0,0,509590,0,5398,0,84,0,31589,0,7083687,15,267808,6140962,5204487,70189600,48028506,0,0,0,254507,5400
133840321,5019671,0,0,516788,10167094,0,0,0,4134304,0,0,512734,0,4054,0,4428,0,32848,0,3985278,9,197494,7624910,393885,73979840,50601884,0,0,0,265776,4054
140529547,5014324,0,0,518144,10341114,0,0,0,4145152,0,0,518144,0,0,0,0,0,28977,0,486423,17,369300,6262361,379258,77707200,53137440,0,0,0,260604,2
147223494,5015292,0,0,515026,10159994,0,0,0,4120208,0,0,512061,0,2965,0,46,0,23836,0,1230436,0,361301,6349413,5822163,81220296,55585467,0,0,0,254477,2966
153912982,5016604,0,0,517812,10093440,0,0,0,4142496,0,0,513758,0,4054,0,2380,0,38676,0,4953961,0,428093,8403163,5884797,84988616,58142776,0,0,0,262576,4054
160607864,5021465,0,0,521216,10347062,0,0,0,4169728,0,0,521216,0,0,0,0,0,54893,0,7175924,28,214198,6250462,5935775,88732360,60719609,0,0,0,266778,3
167310525,5024961,0,0,510976,10009980,0,0,0,4087808,0,0,510976,0,0,0,2048,0,35798,0,6464083,39,185203,5700188,532264,92402376,63179399,0,0,0,250358,2
174002061,5020654,0,0,513024,10125942,0,0,0,4104192,0,0,513024,0,0,0,0,0,24076,0,3291896,6,207720,7799470,415426,96129736,65714175,0,0,0,260641,2
