timestamp,sample_duration,num_reads,read_cycles,num_writes,write_cycles,num_flushes,flush_cycles,read_cycles_samples,write_cycles_samples,flush_cycles_samples,bytes_read,bytes_written,retired_rw,retired_movnti,retired_movntq,retired_movntqd,retired_movntps,retired_mfence,retired_sfence,retired_lfence,wpq_inserts,rpq_inserts,wpq_occupancy,rpq_occupancy,dram_rpq_inserts,dram_rpq_occupancy,unc_ticks,total_read_write,retired_all_stores,l3_misses_local_pmm,l3_misses_remote_pmm,any_scoop_pmm,any_scoop_l3_miss_dram,total_addr_distance
5004285,2502460,0,0,107011,29327,12,0,0,418,0,0,856020,4,0,104871,0,2136,0,247,0,13649,20,1467952,0,0,0,2996904,2488276,0,0,0,20,312324,2135
10006094,2501729,0,0,106377,27169,69,0,0,415,0,0,850421,53,0,97485,0,8839,0,85,0,14444,59,1594551,0,0,0,2994619,4913581,0,0,0,79,616441,8830
15011227,2502762,0,0,111360,28218,0,0,0,435,0,0,890880,0,0,111360,0,0,0,0,0,13923,0,1505343,0,0,0,2995489,7369821,0,0,0,79,924626,0
20012904,2500314,0,0,161497,26677,127,0,0,631,0,0,1291497,41,0,150980,0,10476,0,268,0,21531,47,2415180,0,0,0,2993355,10685728,0,0,0,266,1341087,10537
25018524,2502828,0,0,163573,26035,62,0,0,639,0,0,1308282,26,0,158890,0,4657,0,250,0,21051,31,2338385,0,0,0,2996376,14110131,0,0,0,351,1770605,4681
30020409,2501421,0,0,223522,23818,23,0,0,873,0,0,1788176,0,0,221373,0,2149,0,478,0,28212,0,3165787,0,0,0,2994588,18442973,0,0,0,419,2314496,2170
35024529,2502047,0,0,221348,25983,91,0,0,865,0,0,1770246,54,0,211998,0,9296,0,66,0,28869,59,3267842,0,0,0,2995184,22775888,0,0,0,565,2858167,9323
40027024,2500630,0,0,282704,23644,133,0,0,1105,0,0,2260674,86,0,267042,0,15576,0,123,0,37353,107,4409996,0,0,0,2993875,27545210,0,0,0,713,3456179,15594
45029039,2500449,0,0,288256,20692,22,0,0,1126,0,0,2306048,0,0,0,0,288256,0,0,0,72066,0,8949053,0,0,0,2992504,32081007,0,0,0,759,4024683,288277
50032417,2502757,50136,10349,47824,7610,2660,29,198,188,1,376393,359648,53114,0,2064,0,42782,0,38,0,12210,17759,1717782,0,0,0,2994506,35069848,0,1055,0,18518,4406449,45337
