VERSION 20070824
PCIDEV 0000 80861237 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
PCIDEV 0008 80867000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
PCIDEV 0009 80867010 0 1f0 3f6 170 376 c041 0 0 8 0 8 0 10 0 0 ata_piix
PCIDEV 000b 80867113 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
PCIDEV 0010 1af41050 a fe000008 0 fe80000c 0 febb0000 0 c0002 800000 0 4000 0 1000 0 20000 virtio-pci
PCIDEV 0018 8086100e b feb80000 c001 0 0 0 0 feb00000 20000 40 0 0 0 0 80000 e1000
MAP 115.951724 6 0x140000000 0xffff888140000000 0xffe00000 0x0 0
W 4 117.016118 6 0x14c240000 0x4c0fc3 0x0 0
W 4 117.016127 6 0x14c240008 0x4c0fc3 0x0 0
W 4 117.016130 6 0x14c240010 0x4c0fc3 0x0 0
W 4 117.016132 6 0x14c240018 0x4c0fc3 0x0 0
W 4 117.016135 6 0x14c240020 0x4c0fc3 0x0 0
W 4 117.016138 6 0x14c240028 0x4c0fc3 0x0 0
W 4 117.016140 6 0x14c240030 0x4c0fc3 0x0 0
W 4 117.016143 6 0x14c240038 0x4c0fc3 0x0 0
W 4 117.016146 6 0x14c240040 0x4c0fc3 0x0 0
W 4 117.016149 6 0x14c240048 0x4c0fc3 0x0 0
W 4 117.016151 6 0x14c240050 0x4c0fc3 0x0 0
W 4 117.016154 6 0x14c240058 0x4c0fc3 0x0 0
W 4 117.016157 6 0x14c240060 0x4c0fc3 0x0 0
W 4 117.016159 6 0x14c240068 0x4c0fc3 0x0 0
W 4 117.016162 6 0x14c240070 0x4c0fc3 0x0 0
W 4 117.016164 6 0x14c240078 0x4c0fc3 0x0 0
W 4 117.016167 6 0x14c240080 0x4c0fc3 0x0 0
W 4 117.016170 6 0x14c240088 0x4c0fc3 0x0 0
W 4 117.016173 6 0x14c240090 0x4c0fc3 0x0 0
W 4 117.016175 6 0x14c240098 0x4c0fc3 0x0 0
